Serial Number,Frame,Vehicle Count,Vehicle Type,Density (vehicles per meter)
1,1,3,car,0.025
2,2,3,car,0.025
3,3,3,car,0.025
4,4,3,car,0.025
5,5,3,car,0.025
6,6,3,car,0.025
7,7,3,car,0.025
8,8,3,car,0.025
9,9,3,car,0.025
10,10,3,car,0.025
11,11,3,car,0.025
12,12,3,car,0.025
13,13,3,car,0.025
14,14,3,car,0.025
15,15,3,car,0.025
16,16,3,car,0.025
17,17,3,car,0.025
18,18,3,car,0.025
19,19,3,car,0.025
20,20,3,car,0.025
21,21,3,car,0.025
22,22,3,car,0.025
23,23,3,car,0.025
24,24,4,car,0.03333333333333333
25,25,4,car,0.03333333333333333
26,26,4,car,0.03333333333333333
27,27,4,car,0.03333333333333333
28,28,4,car,0.03333333333333333
29,29,4,car,0.03333333333333333
30,30,4,car,0.03333333333333333
31,31,4,car,0.03333333333333333
32,32,4,car,0.03333333333333333
33,33,4,car,0.03333333333333333
34,34,4,car,0.03333333333333333
35,35,4,car,0.03333333333333333
36,36,4,car,0.03333333333333333
37,37,4,car,0.03333333333333333
38,38,4,car,0.03333333333333333
39,39,4,car,0.03333333333333333
40,40,4,car,0.03333333333333333
41,41,4,car,0.03333333333333333
42,42,4,car,0.03333333333333333
43,43,5,"car, truck",0.04166666666666667
44,44,5,"car, truck",0.04166666666666667
45,45,5,"car, truck",0.04166666666666667
46,46,5,"car, truck",0.04166666666666667
47,47,5,"car, truck",0.04166666666666667
48,48,5,"car, truck",0.04166666666666667
49,49,5,"car, truck",0.04166666666666667
50,50,5,"car, truck",0.04166666666666667
51,51,5,"car, truck",0.04166666666666667
52,52,5,"car, truck",0.04166666666666667
53,53,5,"car, truck",0.04166666666666667
54,54,5,"car, truck",0.04166666666666667
55,55,5,"car, truck",0.04166666666666667
56,56,5,"car, truck",0.04166666666666667
57,57,5,"car, truck",0.04166666666666667
58,58,5,"car, truck",0.04166666666666667
59,59,5,"car, truck",0.04166666666666667
60,60,5,"car, truck",0.04166666666666667
61,61,5,"car, truck",0.04166666666666667
62,62,5,"car, truck",0.04166666666666667
63,63,5,"car, truck",0.04166666666666667
64,64,5,"car, truck",0.04166666666666667
65,65,5,"car, truck",0.04166666666666667
66,66,5,"car, truck",0.04166666666666667
67,67,5,"car, truck",0.04166666666666667
68,68,5,"car, truck",0.04166666666666667
69,69,5,"car, truck",0.04166666666666667
70,70,5,"car, truck",0.04166666666666667
71,71,5,"car, truck",0.04166666666666667
72,72,5,"car, truck",0.04166666666666667
73,73,5,"car, truck",0.04166666666666667
74,74,5,"car, truck",0.04166666666666667
75,75,5,"car, truck",0.04166666666666667
76,76,5,"car, truck",0.04166666666666667
77,77,5,"car, truck",0.04166666666666667
